Date,Open,High,Low,Close,Volume
2014-03-27,568.0,568.0,552.92,558.46,13052
2014-03-28,561.2,566.43,558.67,559.99,41003
2014-03-31,566.89,567.0,556.93,556.97,10772
2014-04-01,558.71,568.45,558.71,567.16,7932
2014-04-02,599.99,604.83,562.19,567.0,146697
2014-04-03,569.85,587.28,564.13,569.74,5087500
2014-04-04,574.65,577.77,543.0,543.14,6377600
2014-04-07,540.74,548.48,527.15,538.15,4368717
2014-04-08,543.07,555.0,541.61,554.9,3148563
2014-04-09,559.77,565.37,552.95,564.14,3323579
2014-04-10,564.99,565.0,539.9,540.95,4027113
2014-04-11,532.5,540.0,526.53,530.6,3915647
2014-04-14,537.74,544.1,529.56,532.52,2565391
2014-04-15,536.82,538.45,518.46,536.44,3846267
2014-04-16,543.0,557.0,540.0,556.54,4869745
2014-04-17,548.81,549.5,531.15,536.1,6792593
2014-04-21,536.1,536.7,525.6,528.62,2559924
2014-04-22,528.64,537.23,527.51,534.81,2358993
2014-04-23,533.79,533.87,526.25,526.94,2049887
2014-04-24,529.97,531.65,522.12,525.16,1879376
2014-04-25,522.51,524.7,515.42,516.18,2096997
2014-04-28,517.55,518.6,502.8,517.15,3325565
2014-04-29,516.91,529.46,516.32,527.7,2691849
2014-04-30,527.6,528.0,522.52,526.66,1746405
2014-05-01,527.15,532.93,523.88,531.35,1900411
2014-05-02,533.76,534.0,525.61,527.93,1684811
2014-05-05,524.73,528.9,521.32,527.81,1021301
2014-05-06,525.23,526.81,515.06,515.14,1647435
2014-05-07,515.79,516.68,503.3,509.96,3215781
2014-05-08,508.41,517.23,506.45,511.0,2015769
2014-05-09,510.75,519.9,504.2,518.73,2432671
2014-05-12,523.51,530.19,519.01,529.92,1907512
2014-05-13,530.89,536.07,529.51,533.09,1648167
2014-05-14,533.0,533.0,525.29,526.65,1191754
2014-05-15,525.7,525.87,517.42,519.98,1702167
2014-05-16,521.39,521.8,515.44,520.63,1481243
2014-05-19,519.7,529.78,517.58,528.86,1276212
2014-05-20,529.74,536.23,526.3,529.77,1779878
2014-05-21,532.9,539.18,531.91,538.94,1193037
2014-05-22,541.13,547.6,540.78,545.06,1611408
2014-05-23,547.26,553.64,543.7,552.7,1929328
2014-05-27,556.0,566.0,554.35,565.95,2099837
2014-05-28,564.57,567.84,561.0,561.68,1647630
2014-05-29,563.47,564.0,558.71,560.08,1350576
2014-05-30,560.8,561.35,555.91,559.89,1766212
2014-06-02,560.7,560.9,545.73,553.93,1434964
2014-06-03,550.65,552.34,542.55,544.94,1861757
2014-06-04,541.5,548.61,538.75,544.66,1811683
2014-06-05,545.62,554.95,544.45,553.9,1684584
2014-06-06,558.06,558.06,548.93,556.33,1732230
2014-06-09,556.99,562.9,556.04,562.12,1525766
2014-06-10,560.51,563.6,557.9,560.55,1349400
2014-06-11,558.0,559.88,555.02,558.84,1097160
2014-06-12,557.63,557.99,548.46,551.35,1456195
2014-06-13,552.25,552.3,545.56,551.76,1217151
2014-06-16,549.26,549.62,541.52,544.28,1703947
2014-06-17,544.2,545.32,539.33,543.01,1445815
2014-06-18,544.86,553.56,544.0,553.37,1737113
2014-06-19,554.24,555.0,548.51,554.9,2451308
2014-06-20,556.89,557.58,550.39,556.36,4496612
2014-06-23,555.0,565.0,554.25,564.95,1534262
2014-06-24,565.19,572.65,561.01,564.62,2201744
2014-06-25,565.26,579.96,565.22,578.65,1964197
2014-06-26,581.0,582.45,571.85,576.0,1736760
2014-06-27,577.18,579.87,573.8,577.24,2231027
2014-06-30,578.66,579.57,574.75,575.28,1310883
2014-07-01,578.32,584.4,576.65,582.67,1446244
2014-07-02,583.35,585.44,580.39,582.34,1054900
2014-07-03,583.35,585.01,580.92,584.73,712210
2014-07-07,583.76,586.43,579.59,582.25,1061733
2014-07-08,577.66,579.53,566.14,571.09,1908582
2014-07-09,571.58,576.72,569.38,576.08,1113907
2014-07-10,565.91,576.59,565.01,571.1,1353108
2014-07-11,571.91,580.85,571.42,579.18,1617369
2014-07-14,582.6,585.21,578.03,584.87,1851650
2014-07-15,585.74,585.8,576.56,584.78,1618617
2014-07-16,588.0,588.4,582.2,582.66,1394327
2014-07-17,579.53,580.99,568.61,573.73,3011977
2014-07-18,593.0,596.8,582.0,595.08,4005766
2014-07-21,591.75,594.4,585.23,589.47,2058451
2014-07-22,590.72,599.65,590.6,594.74,1694527
2014-07-23,593.23,597.85,592.5,595.98,1229831
2014-07-24,596.45,599.5,591.77,593.35,1033269
2014-07-25,590.4,591.86,587.03,589.02,931892
2014-07-28,588.07,592.5,584.75,590.6,984121
2014-07-29,588.75,589.7,583.52,585.61,1346492
2014-07-30,586.55,589.5,584.0,587.42,1013742
2014-07-31,580.6,583.65,570.0,571.6,2099265
2014-08-01,570.4,575.96,562.85,566.07,1949981
2014-08-04,569.04,575.35,564.1,573.15,1427169
2014-08-05,571.03,571.98,562.61,565.07,1556183
2014-08-06,561.78,570.7,560.0,566.37,1330782
2014-08-07,568.0,569.89,561.1,563.36,1108264
2014-08-08,564.0,570.25,560.35,568.77,1492470
2014-08-11,569.99,570.49,566.0,567.88,1215761
2014-08-12,564.52,565.9,560.88,562.73,1537758
2014-08-13,567.3,575.0,565.75,574.78,1437834
2014-08-14,576.18,577.9,570.88,574.65,982926
2014-08-15,577.86,579.38,570.52,573.48,1517056
2014-08-18,576.11,584.51,576.0,582.16,1282182
2014-08-19,585.0,587.34,584.0,586.86,979275
2014-08-20,585.88,586.7,582.57,584.49,1033908
2014-08-21,583.74,584.5,581.14,583.37,912779
2014-08-22,583.59,585.24,580.64,582.56,788942
2014-08-25,584.72,585.0,579.0,580.2,1358570
2014-08-26,581.26,581.8,576.58,577.86,1635360
2014-08-27,577.27,578.49,570.1,571.0,1699812
2014-08-28,569.56,573.25,567.1,569.2,1295833
2014-08-29,571.37,572.04,567.07,571.6,1080847
2014-09-02,571.85,577.83,571.19,577.33,1576565
2014-09-03,580.22,582.99,575.0,577.94,1214564
2014-09-04,580.0,586.0,579.22,581.98,1459841
2014-09-05,583.98,586.55,581.95,586.08,1629456
2014-09-08,586.6,591.77,586.3,589.72,1429096
2014-09-09,588.9,589.0,580.0,581.01,1286716
2014-09-10,581.5,583.5,576.94,583.1,974789
2014-09-11,580.36,581.81,576.26,581.35,1217650
2014-09-12,580.95,581.64,574.46,575.62,1597626
2014-09-15,572.94,574.95,568.21,573.1,1596194
2014-09-16,572.76,581.5,572.66,579.95,1477504
2014-09-17,580.01,587.52,578.78,584.77,1690551
2014-09-18,587.3,589.54,585.0,589.27,1441508
2014-09-19,591.5,596.48,589.5,596.08,3726476
2014-09-22,593.82,593.95,583.46,587.37,1685121
2014-09-23,586.85,586.85,581.0,581.13,1467395
2014-09-24,581.46,589.63,580.52,587.99,1724537
2014-09-25,587.56,587.98,574.18,575.06,1924964
2014-09-26,576.06,579.25,574.66,577.1,1439807
2014-09-29,571.8,578.19,571.17,576.36,1281201
2014-09-30,576.93,579.85,572.85,577.36,1618437
2014-10-01,576.01,577.58,567.01,568.27,1444196
2014-10-02,567.31,571.91,563.32,570.08,1175267
2014-10-03,573.05,577.22,572.5,575.28,1138634
2014-10-06,579.0,581.0,574.44,577.35,1211320
2014-10-07,574.4,575.27,563.74,563.74,1906108
2014-10-08,565.57,573.88,557.49,572.5,1987688
2014-10-09,571.17,571.49,559.06,560.88,2519159
2014-10-10,558.34,565.13,544.05,544.49,3077521
2014-10-13,544.99,549.5,533.1,533.21,2576138
2014-10-14,538.9,547.19,533.17,537.94,2217210
2014-10-15,530.45,532.8,518.3,530.03,3709966
2014-10-16,519.0,529.43,515.0,524.51,3687669
2014-10-17,527.25,530.98,508.53,511.17,5530303
2014-10-20,509.45,521.76,508.1,520.84,2604933
2014-10-21,525.0,526.79,519.11,526.54,2331955
2014-10-22,529.89,539.8,528.8,532.71,2916572
2014-10-23,539.32,547.22,535.85,543.98,2345112
2014-10-24,544.36,544.88,535.79,539.78,1972043
2014-10-27,537.03,544.41,537.03,540.77,1184973
2014-10-28,543.0,548.98,541.62,548.9,1273272
2014-10-29,550.0,554.19,546.98,549.33,1767007
2014-10-30,548.95,552.8,543.51,550.31,1451667
2014-10-31,559.35,559.57,554.75,559.08,2032887
2014-11-03,555.5,557.9,553.23,555.22,1378504
2014-11-04,552.72,555.5,549.3,554.11,1240251
2014-11-05,556.8,556.8,544.05,545.92,2026692
2014-11-06,545.73,546.89,540.97,542.04,1328463
2014-11-07,546.21,546.21,538.67,541.01,1629159
2014-11-10,541.46,549.59,541.02,547.49,1131533
2014-11-11,548.49,551.94,546.3,550.29,964716
2014-11-12,550.38,550.46,545.17,547.31,1126301
2014-11-13,549.63,549.8,543.48,545.38,1335697
2014-11-14,546.68,546.68,542.15,544.4,1285841
2014-11-17,543.58,543.79,534.06,536.51,1721145
2014-11-18,537.5,541.94,534.17,535.03,1957367
2014-11-19,535.0,538.24,530.08,536.99,1388234
2014-11-20,531.25,535.11,531.08,534.83,1558476
2014-11-21,541.61,542.14,536.56,537.5,2218137
2014-11-24,537.65,542.7,535.62,539.27,1701562
2014-11-25,539.0,543.98,538.6,541.08,1784967
2014-11-26,541.47,541.55,537.04,540.37,1519474
2014-11-28,540.15,542.0,536.6,541.83,1145231
2014-12-01,538.9,541.41,531.86,533.8,2109498
2014-12-02,533.95,535.5,529.8,533.75,1522426
2014-12-03,531.44,536.0,529.26,531.32,1279137
2014-12-04,531.16,537.34,528.59,537.31,1392208
2014-12-05,531.0,532.89,524.28,525.26,2557697
2014-12-08,527.13,531.0,523.79,526.98,2326833
2014-12-09,522.65,534.19,520.5,533.37,1871268
2014-12-10,532.96,536.33,525.56,526.06,1716785
2014-12-11,527.8,533.92,527.1,528.34,1610954
2014-12-12,523.51,528.5,518.66,518.66,1988118
2014-12-15,522.74,523.1,513.27,513.8,2812509
2014-12-16,511.56,513.05,489.0,495.39,3947212
2014-12-17,497.0,507.0,496.81,504.89,2874963
2014-12-18,512.35,513.87,504.7,511.1,2918096
2014-12-19,511.51,517.72,506.91,516.35,3679797
2014-12-22,516.68,526.46,516.08,524.87,2723599
2014-12-23,527.0,534.56,526.29,530.59,2191455
2014-12-24,530.51,531.76,527.02,528.77,704035
2014-12-26,528.77,534.25,527.31,534.03,1037687
2014-12-29,532.19,535.48,530.01,530.33,2276094
